,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Leeds United,7641.0,724.0,38.0,121.0,86.0,43.0,14.0,5345.0,214.0,22.0,270.0,100.0,120.0,873.0,12865.0,2.0,20.0,732.0,628.0,477.0,276.0,45.0,155.0,40.0,42.0,10.0,2.0,2.0,18.0,16.0,88.0,16.0,1.0,1.0,3.0,4.0,13.0,4.0,3.0,5.0,6.0,16.0,13.0,4.0,44.0,,12.0,64.0,71.0,33.0,115.0,1.0,5.0,63.0,27.0,52.0,233.0,4.0,,1.0,46.0,18.0,16.0,52.0,51.0,66.0,9.0,66.0,,9.0,49.0,,187.0,,4.0,1.0,2.0,3.0,340.0,5.0,,,,7.0,4.0,3.0,13.0,50.0,184.0,37.0,14.0,8.0,12.0,42.0,22.0,21.0,307.0,372.0,210.0,287.0,198.0,36308.0,19.0,36715.0,35558.0,689855.0,2306.0,2575.0,44.0,37.0,26.0,37.0,698.0,137.0,478.0,5.0,7.0,10.0,170.0,310.0,148.0,5.0,298.0,65.0,11.0,2183.0,1960.0,37.0,604.0,268.0,6.0,11.0,1076.0,1895.0,17.0,469.0,365.0,12.0,2.0,73.0,49.0,6027.0,26.0,,16.0,21.0,5.0,,292.0,42.0,79.0,72.0,8.0,27.0,22.0,5.0,268.0,18.0,395.0,395.0,32.0,276.0,1.0,4034.0,2336.0,1258.0,18.0,182.0,20.0,138.0,209.0,154.0,15687.0,143.0,50.0,,1.0,2011.0,2207.0,1026.0,5.0,6.0,5.0,,5.0,5641.0,5641.0,174.0,1049.0,1037.0,1995.5999999999995,14.0,19.0,9.0,19.0,698.0,4136.0,100.0,53.0,147.0,,17.0,16.0,194.0,14.0,,106.0,509.0,2700.0,12206.0,330.0,348.0,8818.0,1671.0,604.0,655.0,144.0,648.0,507.0,16.0,4232.0,113.0,8333.0,24.0,22.0,554.0,146.0,2120.0,63.0,16503.0,10.0,3.0,485.0,786.0,66.0,798.0,101.0,24043.0,836.0,676.0,9.0,339.0,171.0,436.0
Leicester City,8663.0,607.0,26.0,98.0,74.0,41.0,9.0,6630.0,224.0,16.0,169.0,107.0,125.0,868.0,15195.0,8.0,26.0,667.0,554.0,532.0,244.0,24.0,146.0,49.0,34.0,14.0,4.0,4.0,17.0,17.0,56.0,15.0,1.0,3.0,,3.0,14.0,4.0,8.0,7.0,11.0,20.0,15.0,5.0,30.0,1.0,8.0,47.0,62.0,55.0,86.0,1.0,1.0,65.0,20.0,31.0,128.0,1.0,,,37.0,10.0,12.0,54.0,37.0,56.0,7.0,61.0,,,43.0,,165.0,,,,,10.0,340.0,2.0,,,,1.0,,,38.0,69.0,259.0,23.0,9.0,6.0,7.0,42.0,25.0,21.0,232.0,393.0,173.0,269.0,166.0,31941.0,19.0,32236.0,30892.0,606870.0,2765.0,2264.0,51.0,37.0,37.0,62.0,702.0,118.0,414.0,7.0,5.0,5.0,185.0,238.0,121.0,4.0,368.0,63.0,10.0,1934.0,1913.0,62.0,727.0,388.0,4.0,12.0,1019.0,1865.0,27.0,356.0,396.0,28.0,3.0,68.0,40.0,6190.0,45.0,2.0,36.0,42.0,3.0,4.0,302.0,62.0,59.0,51.0,8.0,52.0,15.0,6.0,388.0,9.0,367.0,367.0,47.0,174.0,3.0,4891.0,2390.0,1392.0,14.0,220.0,25.0,107.0,205.0,169.0,17672.0,147.0,32.0,,1.0,2565.0,2171.0,885.0,7.0,9.0,9.0,2.0,2.0,5261.0,5261.0,175.0,984.0,856.0,1982.0,1.0,21.0,10.0,13.0,702.0,4732.0,99.0,40.0,135.0,,15.0,15.0,148.0,10.0,,109.0,484.0,2924.0,14531.0,323.0,312.0,9781.0,1371.0,727.0,547.0,158.0,556.0,399.0,19.0,4312.0,127.0,9353.0,16.0,16.0,534.0,139.0,1985.0,60.0,18578.0,18.0,1.0,435.0,690.0,65.0,769.0,55.0,25700.0,781.0,601.0,14.0,297.0,185.0,384.0
Liverpool,9044.0,960.0,81.0,221.0,140.0,42.0,16.0,11209.0,153.0,34.0,221.0,67.0,156.0,1149.0,20032.0,13.0,45.0,689.0,472.0,574.0,385.0,72.0,301.0,41.0,63.0,20.0,4.0,6.0,27.0,25.0,145.0,29.0,1.0,7.0,,,13.0,7.0,10.0,8.0,28.0,27.0,22.0,16.0,62.0,3.0,27.0,127.0,125.0,86.0,162.0,1.0,5.0,112.0,40.0,72.0,268.0,3.0,,,57.0,23.0,27.0,73.0,74.0,89.0,8.0,92.0,,1.0,51.0,1.0,237.0,,,,,13.0,515.0,7.0,,,1.0,4.0,2.0,,39.0,64.0,334.0,48.0,22.0,12.0,9.0,58.0,36.0,31.0,211.0,197.0,101.0,490.0,239.0,53023.0,18.0,53213.0,52591.0,954414.0,3505.0,2524.0,97.0,59.0,73.0,43.0,659.0,214.0,343.0,21.0,4.0,13.0,282.0,376.0,217.0,11.0,366.0,32.0,8.0,1816.0,1755.0,43.0,499.0,230.0,2.0,6.0,978.0,2780.0,44.0,363.0,286.0,63.0,,87.0,50.0,7376.0,71.0,5.0,60.0,63.0,8.0,5.0,185.0,94.0,26.0,19.0,8.0,68.0,24.0,15.0,230.0,10.0,341.0,341.0,30.0,224.0,5.0,6252.0,2807.0,1876.0,2.0,117.0,10.0,184.0,343.0,256.0,22896.0,75.0,51.0,,1.0,3038.0,3313.0,1542.0,,,,,8.0,5688.0,5688.0,287.0,872.0,1106.0,2400.8000000000006,6.0,10.0,20.0,19.0,659.0,6455.0,56.0,30.0,82.0,,22.0,29.0,259.0,23.0,,111.0,508.0,5333.0,19427.0,285.0,528.0,9889.0,1828.0,499.0,635.0,254.0,897.0,643.0,32.0,7218.0,115.0,14596.0,24.0,35.0,422.0,175.0,2110.0,63.0,23588.0,34.0,1.0,729.0,554.0,112.0,780.0,50.0,30815.0,1478.0,590.0,28.0,343.0,285.0,320.0
Manchester City,9826.0,994.0,65.0,168.0,115.0,15.0,13.0,13776.0,132.0,21.0,169.0,47.0,161.0,1169.0,23434.0,9.0,45.0,636.0,401.0,484.0,425.0,49.0,268.0,72.0,61.0,19.0,8.0,5.0,28.0,29.0,125.0,17.0,,6.0,1.0,8.0,17.0,6.0,13.0,10.0,21.0,34.0,20.0,15.0,45.0,4.0,16.0,88.0,135.0,84.0,153.0,,14.0,117.0,47.0,59.0,265.0,,1.0,,57.0,23.0,24.0,70.0,60.0,77.0,15.0,76.0,,5.0,42.0,,211.0,,,3.0,,11.0,532.0,7.0,,,2.0,5.0,7.0,7.0,36.0,84.0,359.0,32.0,15.0,13.0,9.0,66.0,31.0,37.0,188.0,164.0,73.0,498.0,215.0,52774.0,19.0,53395.0,51437.0,1002702.0,4426.0,2154.0,87.0,65.0,58.0,44.0,567.0,211.0,282.0,21.0,4.0,19.0,316.0,410.0,198.0,10.0,316.0,29.0,6.0,1616.0,1736.0,44.0,368.0,190.0,1.0,7.0,815.0,2712.0,45.0,321.0,330.0,32.0,1.0,104.0,53.0,6741.0,63.0,9.0,47.0,48.0,17.0,2.0,147.0,99.0,26.0,24.0,2.0,69.0,18.0,15.0,190.0,24.0,279.0,279.0,18.0,171.0,6.0,7399.0,2322.0,1787.0,3.0,108.0,47.0,190.0,347.0,254.0,25452.0,55.0,41.0,3.0,,4106.0,3459.0,1485.0,1.0,2.0,1.0,,10.0,4666.0,4666.0,240.0,767.0,960.0,2595.2999999999997,19.0,2.0,9.0,10.0,567.0,7566.0,44.0,18.0,62.0,,10.0,17.0,248.0,15.0,,79.0,381.0,6883.0,22799.0,212.0,538.0,10518.0,1575.0,368.0,741.0,221.0,869.0,661.0,19.0,8336.0,61.0,16483.0,22.0,21.0,330.0,168.0,1851.0,66.0,26132.0,44.0,2.0,713.0,498.0,102.0,664.0,42.0,32650.0,1591.0,497.0,29.0,425.0,317.0,284.0
Manchester United,7578.0,803.0,54.0,151.0,99.0,34.0,13.0,8330.0,209.0,7.0,134.0,68.0,212.0,961.0,15757.0,6.0,40.0,648.0,443.0,558.0,318.0,44.0,179.0,52.0,60.0,9.0,3.0,6.0,21.0,21.0,74.0,22.0,1.0,3.0,1.0,5.0,19.0,8.0,5.0,7.0,17.0,11.0,10.0,7.0,43.0,1.0,21.0,79.0,71.0,49.0,113.0,2.0,6.0,88.0,10.0,39.0,146.0,2.0,1.0,,32.0,10.0,16.0,64.0,48.0,73.0,8.0,57.0,1.0,2.0,43.0,,174.0,4.0,2.0,2.0,2.0,8.0,383.0,3.0,1.0,1.0,,6.0,2.0,,40.0,72.0,281.0,27.0,19.0,9.0,5.0,55.0,29.0,19.0,247.0,327.0,187.0,325.0,183.0,73150.0,19.0,73564.0,72732.0,1389856.0,2810.0,2245.0,66.0,50.0,31.0,41.0,640.0,144.0,343.0,8.0,5.0,13.0,197.0,267.0,195.0,3.0,333.0,64.0,10.0,1768.0,1828.0,41.0,673.0,375.0,4.0,16.0,934.0,2034.0,22.0,396.0,320.0,22.0,1.0,71.0,35.0,5978.0,46.0,7.0,36.0,40.0,7.0,4.0,299.0,57.0,57.0,48.0,9.0,46.0,9.0,10.0,375.0,13.0,340.0,340.0,46.0,134.0,2.0,5163.0,2161.0,1349.0,12.0,209.0,22.0,149.0,258.0,187.0,18235.0,133.0,49.0,1.0,3.0,2993.0,2331.0,1040.0,3.0,5.0,5.0,2.0,5.0,5134.0,5134.0,166.0,1036.0,869.0,2003.9999999999995,8.0,13.0,10.0,11.0,640.0,5084.0,84.0,46.0,128.0,1.0,13.0,22.0,177.0,12.0,,114.0,446.0,4102.0,15127.0,271.0,408.0,8662.0,1502.0,673.0,631.0,164.0,659.0,497.0,25.0,5490.0,108.0,11032.0,9.0,8.0,389.0,237.0,1876.0,88.0,19035.0,23.0,2.0,508.0,585.0,80.0,725.0,75.0,25893.0,937.0,538.0,16.0,368.0,198.0,358.0
Newcastle United,4747.0,513.0,62.0,150.0,88.0,49.0,15.0,4732.0,186.0,11.0,126.0,189.0,102.0,974.0,9329.0,5.0,18.0,596.0,622.0,677.0,235.0,50.0,150.0,37.0,39.0,13.0,1.0,2.0,16.0,21.0,79.0,25.0,4.0,3.0,,5.0,16.0,5.0,4.0,5.0,8.0,13.0,8.0,9.0,49.0,1.0,20.0,93.0,61.0,37.0,106.0,2.0,5.0,63.0,4.0,28.0,103.0,3.0,1.0,,41.0,13.0,23.0,58.0,40.0,60.0,7.0,69.0,,,46.0,,176.0,1.0,,2.0,,7.0,310.0,3.0,,,,2.0,2.0,1.0,28.0,61.0,253.0,40.0,16.0,7.0,7.0,35.0,27.0,21.0,190.0,341.0,191.0,268.0,181.0,51487.0,19.0,52281.0,44017.0,978251.0,1869.0,2110.0,34.0,28.0,21.0,40.0,538.0,121.0,337.0,8.0,6.0,10.0,160.0,258.0,135.0,7.0,359.0,49.0,10.0,1966.0,2059.0,40.0,743.0,394.0,5.0,10.0,890.0,1793.0,26.0,392.0,364.0,20.0,2.0,68.0,51.0,5070.0,23.0,2.0,15.0,18.0,5.0,3.0,344.0,44.0,62.0,59.0,4.0,27.0,25.0,12.0,394.0,7.0,360.0,360.0,54.0,127.0,2.0,2839.0,2385.0,1189.0,15.0,190.0,13.0,132.0,176.0,149.0,11627.0,162.0,45.0,3.0,2.0,2019.0,1773.0,875.0,5.0,6.0,6.0,1.0,4.0,5136.0,5136.0,148.0,930.0,757.0,1520.6999999999998,5.0,24.0,14.0,7.0,538.0,2725.0,76.0,35.0,107.0,1.0,23.0,25.0,179.0,12.0,,108.0,458.0,2333.0,8813.0,257.0,308.0,5599.0,1240.0,743.0,632.0,150.0,592.0,442.0,26.0,3651.0,205.0,7496.0,30.0,11.0,701.0,122.0,2257.0,71.0,12503.0,15.0,2.0,449.0,659.0,31.0,743.0,79.0,19609.0,788.0,622.0,13.0,359.0,160.0,383.0
Norwich City,6803.0,672.0,49.0,127.0,79.0,33.0,19.0,4532.0,227.0,11.0,214.0,112.0,137.0,923.0,11208.0,6.0,24.0,615.0,602.0,495.0,206.0,42.0,128.0,22.0,31.0,7.0,1.0,3.0,13.0,12.0,59.0,18.0,,7.0,,6.0,18.0,,1.0,2.0,4.0,4.0,11.0,5.0,32.0,2.0,17.0,64.0,56.0,20.0,71.0,2.0,6.0,56.0,4.0,27.0,97.0,1.0,,,35.0,11.0,23.0,48.0,29.0,61.0,3.0,71.0,,1.0,32.0,,165.0,1.0,1.0,,,8.0,251.0,3.0,,,,2.0,,3.0,12.0,45.0,211.0,43.0,9.0,8.0,4.0,34.0,21.0,18.0,197.0,416.0,217.0,205.0,168.0,26810.0,19.0,27066.0,26361.0,509386.0,2289.0,2183.0,30.0,27.0,10.0,63.0,576.0,117.0,417.0,6.0,10.0,9.0,165.0,242.0,113.0,3.0,313.0,61.0,7.0,1952.0,1836.0,63.0,816.0,419.0,5.0,9.0,903.0,1649.0,11.0,356.0,431.0,13.0,,80.0,61.0,5267.0,16.0,2.0,14.0,14.0,2.0,1.0,311.0,23.0,84.0,76.0,9.0,15.0,18.0,14.0,419.0,9.0,381.0,381.0,39.0,215.0,4.0,3459.0,2171.0,1060.0,26.0,253.0,7.0,103.0,161.0,109.0,13556.0,180.0,52.0,2.0,2.0,1819.0,1844.0,877.0,9.0,12.0,12.0,2.0,4.0,5102.0,5102.0,152.0,1014.0,721.0,1617.5000000000005,6.0,7.0,4.0,20.0,576.0,3451.0,104.0,45.0,142.0,1.0,15.0,18.0,147.0,13.0,,114.0,444.0,2220.0,10533.0,270.0,264.0,7809.0,1459.0,816.0,581.0,153.0,568.0,416.0,19.0,3557.0,150.0,7225.0,19.0,12.0,615.0,156.0,2165.0,55.0,14466.0,21.0,1.0,373.0,614.0,50.0,766.0,55.0,21530.0,643.0,548.0,5.0,298.0,165.0,368.0
Southampton,5412.0,558.0,53.0,151.0,98.0,69.0,18.0,6456.0,151.0,18.0,145.0,160.0,110.0,783.0,11717.0,14.0,20.0,492.0,734.0,675.0,280.0,47.0,156.0,57.0,39.0,19.0,,1.0,19.0,13.0,93.0,14.0,4.0,6.0,,8.0,24.0,4.0,4.0,5.0,5.0,14.0,11.0,9.0,43.0,3.0,24.0,89.0,78.0,34.0,96.0,2.0,6.0,86.0,5.0,29.0,103.0,1.0,,,55.0,15.0,15.0,52.0,39.0,57.0,9.0,73.0,,3.0,43.0,,179.0,3.0,,3.0,,3.0,327.0,4.0,,,,4.0,3.0,1.0,27.0,77.0,287.0,25.0,13.0,7.0,7.0,50.0,34.0,22.0,203.0,333.0,164.0,298.0,184.0,30055.0,18.0,31588.0,26951.0,540982.0,2355.0,2469.0,44.0,42.0,19.0,55.0,641.0,135.0,334.0,8.0,6.0,6.0,233.0,303.0,137.0,7.0,365.0,65.0,13.0,2088.0,1987.0,55.0,761.0,344.0,6.0,8.0,1015.0,2053.0,24.0,402.0,362.0,15.0,4.0,82.0,56.0,5781.0,26.0,4.0,16.0,19.0,7.0,3.0,285.0,43.0,67.0,62.0,6.0,23.0,40.0,11.0,344.0,10.0,446.0,446.0,55.0,149.0,,3687.0,2497.0,1232.0,16.0,197.0,18.0,124.0,229.0,170.0,14466.0,132.0,42.0,2.0,2.0,2514.0,2053.0,1069.0,2.0,2.0,2.0,,5.0,5748.0,5748.0,205.0,1017.0,1002.0,1814.5999999999995,9.0,29.0,9.0,21.0,641.0,3465.0,92.0,32.0,118.0,1.0,13.0,14.0,177.0,16.0,,110.0,516.0,3234.0,11177.0,298.0,353.0,6373.0,1273.0,761.0,624.0,215.0,711.0,496.0,16.0,4801.0,244.0,9626.0,43.0,18.0,779.0,118.0,2085.0,42.0,15288.0,28.0,2.0,482.0,602.0,45.0,750.0,63.0,22727.0,876.0,628.0,9.0,350.0,234.0,340.0
Tottenham Hotspur,8565.0,653.0,38.0,151.0,114.0,41.0,8.0,7877.0,237.0,22.0,158.0,77.0,168.0,835.0,16291.0,8.0,44.0,604.0,502.0,565.0,290.0,39.0,183.0,37.0,42.0,15.0,3.0,2.0,28.0,18.0,69.0,22.0,1.0,2.0,,6.0,16.0,2.0,6.0,5.0,8.0,25.0,22.0,8.0,33.0,4.0,25.0,80.0,79.0,62.0,97.0,1.0,5.0,88.0,24.0,45.0,149.0,2.0,,,43.0,12.0,15.0,51.0,35.0,54.0,8.0,56.0,,2.0,47.0,,164.0,1.0,,,,13.0,378.0,5.0,,,,4.0,2.0,1.0,31.0,65.0,257.0,22.0,17.0,8.0,9.0,46.0,32.0,27.0,229.0,310.0,183.0,325.0,166.0,56523.0,19.0,62027.0,40539.0,1073936.0,2825.0,2136.0,84.0,60.0,44.0,45.0,641.0,133.0,322.0,16.0,5.0,12.0,193.0,325.0,141.0,4.0,341.0,54.0,5.0,1824.0,1940.0,45.0,758.0,431.0,3.0,12.0,914.0,1823.0,33.0,386.0,406.0,46.0,3.0,66.0,27.0,5817.0,51.0,2.0,42.0,47.0,4.0,4.0,282.0,69.0,40.0,34.0,6.0,51.0,29.0,17.0,431.0,13.0,355.0,355.0,41.0,161.0,2.0,5367.0,2175.0,1405.0,11.0,193.0,10.0,129.0,250.0,198.0,18281.0,161.0,41.0,6.0,1.0,2115.0,2367.0,1026.0,2.0,3.0,2.0,,5.0,4757.0,4757.0,147.0,938.0,808.0,1970.6,7.0,7.0,14.0,10.0,641.0,5156.0,65.0,38.0,98.0,1.0,24.0,22.0,160.0,12.0,,106.0,486.0,3592.0,15545.0,309.0,380.0,9528.0,1300.0,758.0,667.0,141.0,632.0,492.0,26.0,4773.0,119.0,10269.0,34.0,22.0,390.0,188.0,1691.0,62.0,19165.0,25.0,1.0,491.0,598.0,88.0,676.0,67.0,26225.0,927.0,588.0,22.0,375.0,195.0,349.0
Watford,5041.0,639.0,41.0,146.0,106.0,76.0,14.0,4614.0,140.0,13.0,119.0,208.0,144.0,931.0,9509.0,6.0,20.0,649.0,757.0,717.0,233.0,39.0,145.0,37.0,34.0,9.0,1.0,4.0,16.0,14.0,55.0,30.0,,9.0,,6.0,24.0,2.0,4.0,2.0,5.0,11.0,13.0,8.0,43.0,,11.0,72.0,51.0,34.0,90.0,3.0,5.0,69.0,6.0,19.0,87.0,5.0,,,42.0,19.0,26.0,47.0,35.0,47.0,,78.0,,2.0,25.0,,146.0,,,4.0,,6.0,283.0,1.0,,,1.0,4.0,2.0,1.0,19.0,64.0,240.0,37.0,16.0,4.0,4.0,30.0,26.0,21.0,253.0,374.0,190.0,247.0,152.0,20598.0,19.0,21142.0,20012.0,391369.0,2005.0,2431.0,49.0,39.0,19.0,42.0,609.0,98.0,348.0,4.0,5.0,7.0,161.0,227.0,181.0,2.0,389.0,61.0,5.0,2269.0,2072.0,42.0,866.0,457.0,11.0,10.0,1004.0,1956.0,17.0,442.0,351.0,16.0,2.0,80.0,58.0,5463.0,26.0,3.0,20.0,22.0,4.0,2.0,310.0,34.0,77.0,68.0,10.0,27.0,25.0,14.0,457.0,11.0,444.0,444.0,64.0,123.0,4.0,2714.0,2575.0,1198.0,27.0,235.0,12.0,124.0,174.0,127.0,12201.0,148.0,48.0,1.0,3.0,1830.0,2062.0,847.0,6.0,8.0,7.0,1.0,3.0,5650.0,5650.0,143.0,1152.0,859.0,1532.4,7.0,12.0,5.0,9.0,609.0,2864.0,82.0,37.0,117.0,3.0,19.0,30.0,175.0,10.0,,106.0,523.0,2280.0,9020.0,292.0,298.0,6014.0,1378.0,866.0,751.0,146.0,610.0,466.0,32.0,3794.0,250.0,7642.0,28.0,13.0,874.0,169.0,2363.0,54.0,13046.0,14.0,3.0,399.0,614.0,35.0,808.0,57.0,20559.0,675.0,639.0,6.0,395.0,162.0,356.0
West Ham United,6656.0,668.0,53.0,157.0,106.0,60.0,5.0,6863.0,198.0,5.0,166.0,125.0,129.0,962.0,13362.0,10.0,18.0,640.0,631.0,642.0,237.0,37.0,156.0,36.0,47.0,8.0,1.0,4.0,19.0,23.0,81.0,20.0,1.0,6.0,,3.0,14.0,5.0,4.0,3.0,13.0,22.0,14.0,8.0,36.0,2.0,21.0,78.0,83.0,52.0,96.0,2.0,5.0,72.0,21.0,30.0,140.0,4.0,1.0,1.0,40.0,15.0,17.0,39.0,51.0,45.0,9.0,61.0,,3.0,27.0,2.0,136.0,,,1.0,3.0,7.0,326.0,4.0,,,2.0,4.0,1.0,2.0,28.0,48.0,227.0,18.0,16.0,4.0,6.0,31.0,23.0,21.0,175.0,353.0,197.0,306.0,143.0,58367.0,19.0,59972.0,41027.0,1108979.0,2533.0,2226.0,52.0,38.0,36.0,38.0,598.0,128.0,317.0,8.0,2.0,14.0,200.0,394.0,187.0,7.0,293.0,58.0,8.0,1783.0,1753.0,38.0,755.0,409.0,1.0,4.0,974.0,2013.0,27.0,323.0,274.0,15.0,5.0,69.0,42.0,5980.0,46.0,8.0,38.0,36.0,10.0,6.0,305.0,60.0,51.0,44.0,7.0,40.0,28.0,14.0,409.0,10.0,374.0,374.0,43.0,167.0,1.0,4136.0,2437.0,1344.0,14.0,200.0,32.0,115.0,205.0,157.0,15849.0,175.0,40.0,3.0,2.0,2831.0,2509.0,1052.0,2.0,6.0,6.0,3.0,6.0,5148.0,5148.0,152.0,988.0,830.0,1813.4999999999995,7.0,16.0,14.0,11.0,598.0,3930.0,77.0,42.0,116.0,2.0,18.0,20.0,164.0,16.0,,95.0,509.0,3338.0,12839.0,245.0,320.0,7570.0,1463.0,755.0,545.0,180.0,802.0,623.0,24.0,4698.0,210.0,9811.0,30.0,5.0,618.0,145.0,2150.0,59.0,16579.0,24.0,3.0,449.0,534.0,29.0,770.0,47.0,23444.0,871.0,521.0,16.0,306.0,201.0,301.0
Wolverhampton Wanderers,7960.0,737.0,38.0,137.0,99.0,45.0,14.0,6413.0,200.0,32.0,214.0,92.0,174.0,1044.0,14236.0,10.0,18.0,666.0,494.0,465.0,246.0,26.0,143.0,26.0,43.0,10.0,3.0,3.0,13.0,17.0,60.0,32.0,1.0,6.0,1.0,2.0,13.0,,3.0,1.0,10.0,17.0,6.0,5.0,34.0,3.0,19.0,65.0,59.0,30.0,83.0,1.0,8.0,63.0,11.0,24.0,119.0,4.0,1.0,,35.0,13.0,20.0,47.0,34.0,49.0,8.0,66.0,,2.0,38.0,,159.0,,,,1.0,7.0,299.0,1.0,,,,5.0,3.0,3.0,19.0,59.0,217.0,30.0,18.0,6.0,7.0,34.0,17.0,22.0,215.0,340.0,170.0,239.0,163.0,30756.0,18.0,31842.0,29658.0,553614.0,2665.0,2434.0,41.0,40.0,18.0,69.0,630.0,108.0,398.0,11.0,4.0,11.0,168.0,246.0,160.0,7.0,341.0,54.0,6.0,1906.0,1919.0,69.0,771.0,390.0,5.0,15.0,1001.0,1839.0,19.0,366.0,335.0,13.0,3.0,66.0,48.0,5795.0,22.0,1.0,19.0,16.0,6.0,4.0,275.0,38.0,43.0,37.0,6.0,24.0,42.0,10.0,390.0,12.0,389.0,389.0,43.0,220.0,3.0,4524.0,2389.0,1394.0,17.0,204.0,11.0,117.0,177.0,136.0,16668.0,135.0,63.0,3.0,1.0,2082.0,2330.0,835.0,9.0,10.0,10.0,,2.0,5176.0,5176.0,157.0,1070.0,877.0,1882.4,10.0,11.0,5.0,20.0,630.0,4533.0,95.0,35.0,125.0,2.0,14.0,32.0,158.0,13.0,,107.0,497.0,2933.0,13610.0,302.0,294.0,9158.0,1534.0,771.0,771.0,134.0,587.0,454.0,34.0,4163.0,130.0,8946.0,46.0,33.0,592.0,199.0,2245.0,61.0,17517.0,32.0,3.0,402.0,673.0,58.0,718.0,59.0,24764.0,756.0,598.0,15.0,450.0,168.0,377.0
