Name,date_of_birth,goals,outfielder_block,touches,goal_assist,appearances,clean_sheet,mins_played,yellow_card,red_card,total_pass,big_chance_missed,total_offside,total_tackle,fouls,dispossessed,total_clearance
Harry Kane,1993-07-27,23.0,11.0,1561.0,14.0,35.0,11.0,3085.0,1.0,0.0,908.0,13.0,13.0,22.0,26.0,54.0,39.0
Mohamed Salah,1992-06-14,22.0,0.0,1842.0,5.0,37.0,8.0,3079.0,0.0,0.0,1263.0,19.0,13.0,18.0,22.0,82.0,10.0
Bruno Fernandes,1994-09-07,18.0,0.0,2849.0,12.0,37.0,9.0,3105.0,6.0,0.0,2112.0,8.0,3.0,57.0,43.0,37.0,27.0
Patrick Bamford,1993-09-04,17.0,4.0,920.0,7.0,38.0,9.0,3062.0,3.0,0.0,509.0,21.0,18.0,21.0,36.0,21.0,37.0
Son Heung-Min,1992-07-07,17.0,3.0,1657.0,10.0,37.0,7.0,3121.0,0.0,0.0,1057.0,10.0,16.0,32.0,14.0,50.0,3.0
Dominic Calvert-Lewin,1997-03-15,16.0,6.0,1144.0,0.0,33.0,8.0,2874.0,3.0,0.0,675.0,17.0,18.0,17.0,37.0,29.0,33.0
Jamie Vardy,1987-01-10,15.0,5.0,778.0,9.0,34.0,4.0,2844.0,1.0,0.0,434.0,19.0,36.0,18.0,26.0,12.0,31.0
Ollie Watkins,1995-12-29,14.0,2.0,1411.0,5.0,37.0,14.0,3329.0,2.0,1.0,804.0,13.0,31.0,29.0,47.0,85.0,23.0
Ilkay Gündogan,1990-10-23,13.0,4.0,2011.0,2.0,28.0,8.0,2030.0,1.0,0.0,1714.0,5.0,1.0,25.0,8.0,13.0,9.0
Alexandre Lacazette,1991-05-27,13.0,1.0,850.0,2.0,31.0,2.0,1927.0,3.0,0.0,514.0,9.0,8.0,18.0,37.0,31.0,13.0
Kelechi Iheanacho,1996-10-02,12.0,0.0,797.0,2.0,25.0,3.0,1456.0,1.0,0.0,504.0,9.0,9.0,12.0,26.0,34.0,1.0
Danny Ings,1992-07-22,12.0,2.0,885.0,4.0,29.0,5.0,2185.0,1.0,0.0,501.0,6.0,18.0,22.0,19.0,18.0,20.0
Callum Wilson,1992-02-26,12.0,3.0,700.0,5.0,26.0,3.0,2085.0,2.0,0.0,341.0,10.0,22.0,12.0,40.0,39.0,14.0
Chris Wood,1991-12-06,12.0,3.0,1006.0,3.0,33.0,5.0,2750.0,0.0,0.0,653.0,19.0,24.0,12.0,38.0,44.0,21.0
Gareth Bale,1989-07-15,11.0,2.0,611.0,2.0,20.0,0.0,923.0,1.0,0.0,366.0,2.0,5.0,17.0,9.0,7.0,14.0
Matheus Pereira,1996-05-04,11.0,0.0,1556.0,6.0,33.0,4.0,2581.0,2.0,1.0,940.0,2.0,13.0,26.0,34.0,45.0,14.0
Sadio Mané,1992-04-09,11.0,0.0,1740.0,7.0,35.0,8.0,2810.0,3.0,0.0,1008.0,18.0,31.0,48.0,53.0,61.0,9.0
Marcus Rashford,1997-10-30,11.0,2.0,1791.0,9.0,37.0,7.0,2928.0,4.0,0.0,1189.0,11.0,27.0,18.0,25.0,50.0,10.0
Wilfried Zaha,1992-11-09,11.0,0.0,1370.0,2.0,30.0,6.0,2614.0,6.0,0.0,734.0,5.0,22.0,26.0,32.0,77.0,1.0
Michail Antonio,1990-03-27,10.0,3.0,916.0,5.0,26.0,2.0,1983.0,3.0,0.0,453.0,9.0,15.0,7.0,29.0,49.0,7.0
Pierre-Emerick Aubameyang,1989-06-17,10.0,0.0,940.0,3.0,29.0,5.0,2337.0,2.0,0.0,624.0,7.0,17.0,12.0,13.0,19.0,15.0
Christian Benteke,1990-12-02,10.0,6.0,906.0,1.0,30.0,4.0,1818.0,1.0,1.0,575.0,5.0,14.0,15.0,35.0,27.0,39.0
Edinson Cavani,1987-02-13,10.0,0.0,499.0,3.0,26.0,3.0,1368.0,4.0,0.0,336.0,7.0,6.0,12.0,21.0,10.0,11.0
Anwar El-Ghazi,1995-05-02,10.0,0.0,931.0,0.0,28.0,3.0,1612.0,2.0,0.0,523.0,4.0,5.0,16.0,18.0,35.0,10.0
Nicolas Pépé,1995-05-28,10.0,1.0,1034.0,1.0,29.0,3.0,1612.0,1.0,1.0,629.0,3.0,4.0,20.0,11.0,23.0,12.0
Tomás Soucek,1995-02-26,10.0,18.0,2185.0,1.0,38.0,10.0,3419.0,7.0,1.0,1607.0,1.0,2.0,78.0,69.0,21.0,102.0
Raheem Sterling,1994-12-07,10.0,0.0,1641.0,7.0,31.0,13.0,2537.0,4.0,0.0,1113.0,13.0,9.0,21.0,36.0,83.0,4.0
Ché Adams,1996-07-12,9.0,2.0,1053.0,5.0,36.0,2.0,2673.0,1.0,0.0,610.0,17.0,19.0,25.0,30.0,44.0,17.0
Roberto Firmino,1991-10-01,9.0,5.0,1803.0,7.0,36.0,3.0,2849.0,2.0,0.0,1301.0,13.0,4.0,33.0,22.0,47.0,12.0
Harvey Barnes,1997-12-08,9.0,3.0,1009.0,4.0,25.0,4.0,1949.0,0.0,0.0,605.0,5.0,1.0,19.0,16.0,31.0,9.0
Gabriel Jesus,1997-04-02,9.0,0.0,1134.0,4.0,29.0,9.0,2059.0,2.0,0.0,732.0,5.0,17.0,17.0,28.0,38.0,5.0
Phil Foden,2000-05-27,9.0,0.0,1148.0,5.0,28.0,3.0,1613.0,0.0,0.0,762.0,4.0,3.0,22.0,12.0,15.0,10.0
Jesse Lingard,1992-12-14,9.0,1.0,897.0,4.0,16.0,2.0,1424.0,3.0,0.0,633.0,2.0,6.0,12.0,21.0,22.0,0.0
Riyad Mahrez,1991-02-20,9.0,0.0,1424.0,6.0,27.0,6.0,1954.0,0.0,0.0,1004.0,5.0,7.0,20.0,13.0,29.0,4.0
