Name,date_of_birth,goals,outfielder_block,touches,goal_assist,appearances,clean_sheet,mins_played,yellow_card,red_card,total_pass,big_chance_missed,total_offside,total_tackle,fouls,dispossessed,total_clearance
Diogo Jota,1996-12-03,9.0,0.0,682.0,0.0,19.0,0.0,1113.0,2.0,0.0,426.0,7.0,1.0,12.0,25.0,20.0,3.0
Jarrod Bowen,1996-12-19,8.0,1.0,1175.0,5.0,38.0,1.0,2576.0,0.0,0.0,620.0,7.0,15.0,26.0,15.0,50.0,5.0
Stuart Dallas,1991-04-18,8.0,3.0,2730.0,2.0,38.0,12.0,3410.0,7.0,0.0,1961.0,2.0,0.0,74.0,40.0,34.0,46.0
Jack Harrison,1996-11-19,8.0,2.0,1679.0,8.0,36.0,7.0,2855.0,2.0,0.0,989.0,6.0,12.0,63.0,28.0,63.0,18.0
James Maddison,1996-11-22,8.0,1.0,1505.0,5.0,31.0,3.0,2103.0,4.0,0.0,1020.0,0.0,5.0,32.0,19.0,33.0,4.0
Neal Maupay,1996-08-13,8.0,0.0,1063.0,2.0,33.0,5.0,2517.0,1.0,1.0,650.0,11.0,12.0,20.0,27.0,48.0,6.0
David McGoldrick,1987-11-28,8.0,3.0,1421.0,1.0,35.0,3.0,2401.0,7.0,0.0,909.0,6.0,17.0,33.0,45.0,44.0,23.0
James Ward-Prowse,1994-10-31,8.0,4.0,3146.0,7.0,38.0,9.0,3420.0,5.0,0.0,2434.0,1.0,0.0,75.0,45.0,14.0,52.0
Joe Willock,1999-08-19,8.0,4.0,616.0,0.0,21.0,2.0,1215.0,1.0,0.0,314.0,2.0,0.0,32.0,15.0,19.0,10.0
Richarlison,1997-05-09,7.0,3.0,1365.0,3.0,34.0,6.0,2867.0,4.0,1.0,749.0,10.0,25.0,50.0,33.0,56.0,35.0
Jorginho,1991-12-19,7.0,5.0,2089.0,1.0,28.0,11.0,2014.0,2.0,0.0,1783.0,2.0,0.0,57.0,32.0,14.0,20.0
Mason Greenwood,2001-09-30,7.0,0.0,1040.0,2.0,31.0,4.0,1824.0,2.0,0.0,714.0,8.0,4.0,13.0,17.0,29.0,1.0
Rodrigo,1991-03-05,7.0,0.0,784.0,2.0,26.0,0.0,1287.0,3.0,0.0,559.0,2.0,3.0,14.0,19.0,21.0,15.0
Ferran Torres,2000-02-28,7.0,0.0,666.0,2.0,24.0,2.0,1305.0,1.0,0.0,406.0,5.0,5.0,12.0,16.0,21.0,7.0
Bertrand Traoré,1995-09-05,7.0,1.0,1245.0,6.0,36.0,3.0,2333.0,1.0,0.0,700.0,4.0,7.0,26.0,31.0,26.0,12.0
Tammy Abraham,1997-10-01,6.0,0.0,384.0,1.0,22.0,3.0,1034.0,0.0,0.0,205.0,4.0,4.0,7.0,22.0,7.0,17.0
Kevin De Bruyne,1991-06-27,6.0,1.0,1814.0,12.0,25.0,8.0,2001.0,1.0,0.0,1265.0,8.0,1.0,34.0,27.0,33.0,8.0
Raphinha,1996-12-13,6.0,1.0,1573.0,9.0,30.0,5.0,2363.0,3.0,0.0,876.0,4.0,14.0,34.0,13.0,34.0,26.0
Jack Grealish,1995-09-09,6.0,3.0,1582.0,10.0,26.0,11.0,2184.0,6.0,0.0,996.0,4.0,7.0,31.0,40.0,39.0,4.0
Mason Mount,1999-01-09,6.0,2.0,2454.0,5.0,36.0,9.0,2892.0,2.0,0.0,1702.0,3.0,4.0,75.0,50.0,41.0,12.0
James Rodríguez,1991-07-11,6.0,0.0,1431.0,4.0,23.0,1.0,1775.0,4.0,0.0,1031.0,0.0,6.0,28.0,17.0,38.0,1.0
Gylfi Sigurdsson,1989-09-07,6.0,2.0,1292.0,5.0,36.0,5.0,2256.0,2.0,0.0,853.0,3.0,0.0,30.0,22.0,28.0,17.0
Youri Tielemans,1997-05-06,6.0,8.0,3151.0,4.0,38.0,11.0,3358.0,6.0,0.0,2482.0,1.0,0.0,86.0,37.0,35.0,16.0
Danny Welbeck,1990-11-25,6.0,0.0,501.0,1.0,24.0,2.0,1546.0,0.0,0.0,258.0,9.0,5.0,12.0,19.0,13.0,12.0
Timo Werner,1996-03-05,6.0,1.0,1245.0,8.0,35.0,7.0,2602.0,2.0,0.0,779.0,18.0,27.0,20.0,28.0,28.0,6.0
Rúben Neves,1997-03-12,5.0,11.0,2453.0,1.0,36.0,7.0,2679.0,8.0,0.0,1979.0,0.0,0.0,86.0,46.0,16.0,40.0
Bobby De Cordova-Reid,1993-02-01,5.0,5.0,1170.0,2.0,33.0,3.0,2382.0,7.0,0.0,760.0,3.0,3.0,31.0,38.0,24.0,34.0
Lewis Dunk,1991-11-20,5.0,20.0,2554.0,0.0,33.0,11.0,2932.0,5.0,2.0,2223.0,4.0,2.0,30.0,22.0,1.0,104.0
Pablo Fornals,1996-02-21,5.0,1.0,1492.0,4.0,33.0,6.0,2581.0,3.0,0.0,1059.0,7.0,7.0,44.0,26.0,21.0,7.0
Pedro Neto,2000-03-08,5.0,2.0,1707.0,6.0,31.0,3.0,2558.0,4.0,0.0,1019.0,4.0,4.0,16.0,24.0,41.0,5.0
Callum Robinson,1995-02-01,5.0,0.0,650.0,0.0,28.0,0.0,1563.0,0.0,0.0,390.0,4.0,8.0,7.0,3.0,24.0,8.0
Bukayo Saka,2001-09-04,5.0,2.0,1653.0,3.0,32.0,3.0,2560.0,1.0,0.0,978.0,6.0,15.0,25.0,28.0,42.0,19.0
Leandro Trossard,1994-12-03,5.0,2.0,1535.0,5.0,35.0,4.0,2620.0,2.0,0.0,998.0,5.0,5.0,33.0,27.0,60.0,3.0
Kurt Zouma,1994-10-26,5.0,9.0,2016.0,0.0,24.0,9.0,2027.0,3.0,0.0,1775.0,3.0,0.0,16.0,17.0,4.0,91.0
Sergio Agüero,1988-06-01,4.0,0.0,262.0,1.0,12.0,2.0,558.0,0.0,0.0,171.0,2.0,1.0,4.0,2.0,11.0,0.0
Miguel Almirón,1994-02-09,4.0,4.0,1289.0,1.0,34.0,2.0,2436.0,3.0,0.0,850.0,3.0,6.0,49.0,18.0,34.0,18.0
Joelinton,1996-08-13,4.0,2.0,1045.0,2.0,31.0,2.0,1985.0,3.0,0.0,582.0,4.0,6.0,33.0,24.0,42.0,21.0
Stuart Armstrong,1992-03-29,4.0,1.0,1842.0,5.0,33.0,6.0,2771.0,3.0,0.0,1236.0,1.0,4.0,60.0,34.0,68.0,19.0
Eberechi Eze,1998-06-28,4.0,3.0,1649.0,6.0,34.0,3.0,2562.0,3.0,0.0,1088.0,1.0,1.0,27.0,18.0,37.0,7.0
Olivier Giroud,1986-09-29,4.0,1.0,324.0,0.0,17.0,0.0,747.0,1.0,0.0,219.0,6.0,6.0,4.0,15.0,6.0,10.0
Kai Havertz,1999-06-10,4.0,0.0,1072.0,3.0,27.0,5.0,1521.0,2.0,0.0,766.0,9.0,7.0,18.0,27.0,25.0,20.0
Raúl Jiménez,1991-05-04,4.0,0.0,419.0,0.0,10.0,3.0,824.0,0.0,0.0,259.0,2.0,4.0,3.0,9.0,18.0,10.0
Mateusz Klich,1990-06-12,4.0,4.0,1819.0,5.0,35.0,5.0,2395.0,6.0,0.0,1467.0,0.0,6.0,38.0,46.0,22.0,15.0
Ademola Lookman,1997-10-19,4.0,1.0,1789.0,4.0,34.0,4.0,2751.0,5.0,0.0,1049.0,4.0,12.0,35.0,46.0,73.0,7.0
Anthony Martial,1995-12-04,4.0,3.0,770.0,3.0,22.0,1.0,1485.0,0.0,1.0,481.0,10.0,15.0,2.0,15.0,37.0,8.0
Scott McTominay,1996-12-07,4.0,10.0,1699.0,1.0,32.0,7.0,2127.0,3.0,0.0,1298.0,1.0,1.0,51.0,47.0,17.0,43.0
Christian Pulisic,1998-09-17,4.0,2.0,1108.0,2.0,27.0,2.0,1736.0,2.0,0.0,662.0,5.0,4.0,19.0,13.0,29.0,8.0
Fábio Silva,2002-07-18,4.0,1.0,554.0,3.0,32.0,0.0,1355.0,2.0,0.0,323.0,4.0,5.0,6.0,20.0,21.0,5.0
John Stones,1994-05-27,4.0,15.0,1912.0,0.0,22.0,14.0,1934.0,0.0,1.0,1727.0,2.0,1.0,21.0,7.0,2.0,54.0
Ross Barkley,1993-12-04,3.0,1.0,1060.0,1.0,26.0,2.0,1576.0,0.0,0.0,753.0,3.0,6.0,6.0,14.0,33.0,6.0
Ashley Barnes,1989-10-29,3.0,2.0,560.0,0.0,22.0,2.0,1336.0,4.0,0.0,304.0,3.0,17.0,12.0,46.0,21.0,11.0
Kyle Bartley,1991-05-21,3.0,35.0,1198.0,1.0,30.0,4.0,2584.0,4.0,0.0,827.0,2.0,5.0,27.0,30.0,2.0,158.0
Daniel Podence,1995-10-20,3.0,1.0,897.0,2.0,24.0,0.0,1676.0,3.0,0.0,601.0,0.0,4.0,12.0,14.0,24.0,2.0
Ben Chilwell,1996-12-20,3.0,3.0,2199.0,5.0,27.0,9.0,2290.0,3.0,0.0,1469.0,1.0,8.0,42.0,23.0,19.0,47.0
Craig Dawson,1990-05-05,3.0,22.0,980.0,0.0,22.0,7.0,1926.0,3.0,1.0,764.0,2.0,2.0,11.0,14.0,0.0,87.0
Mbaye Diagne,1991-10-27,3.0,1.0,395.0,2.0,16.0,1.0,1194.0,2.0,0.0,235.0,11.0,17.0,4.0,17.0,19.0,16.0
Pascal Groß,1991-06-14,3.0,4.0,1984.0,8.0,34.0,10.0,2481.0,3.0,0.0,1424.0,2.0,5.0,45.0,19.0,17.0,15.0
Sébastien Haller,1994-06-21,3.0,1.0,423.0,0.0,16.0,2.0,935.0,0.0,0.0,245.0,3.0,10.0,14.0,24.0,22.0,7.0
Dan James,1997-11-09,3.0,1.0,461.0,1.0,15.0,3.0,911.0,3.0,0.0,288.0,1.0,4.0,15.0,14.0,9.0,5.0
Michael Keane,1993-01-10,3.0,33.0,2319.0,1.0,35.0,10.0,2990.0,4.0,0.0,1939.0,0.0,0.0,28.0,15.0,5.0,156.0
Josh Maja,1998-12-26,3.0,1.0,289.0,0.0,15.0,1.0,809.0,0.0,0.0,180.0,3.0,2.0,7.0,8.0,13.0,1.0
John McGinn,1994-10-17,3.0,6.0,1970.0,5.0,37.0,14.0,3330.0,12.0,0.0,1367.0,2.0,1.0,61.0,43.0,35.0,23.0
Takumi Minamino,1995-01-15,3.0,1.0,556.0,0.0,19.0,1.0,1006.0,1.0,0.0,387.0,3.0,2.0,11.0,11.0,11.0,12.0
Aleksandar Mitrovic,1994-09-15,3.0,3.0,628.0,3.0,27.0,1.0,1390.0,3.0,0.0,378.0,4.0,3.0,7.0,22.0,17.0,7.0
Tanguy Ndombélé,1996-12-27,3.0,4.0,1616.0,2.0,33.0,2.0,2106.0,3.0,0.0,1172.0,1.0,0.0,41.0,26.0,33.0,11.0
Ivan Cavaleiro,1993-10-17,3.0,1.0,1345.0,0.0,36.0,3.0,2476.0,2.0,0.0,724.0,7.0,9.0,23.0,30.0,50.0,14.0
Angelo Ogbonna,1988-05-22,3.0,11.0,1296.0,0.0,28.0,8.0,2493.0,5.0,0.0,1018.0,0.0,1.0,26.0,28.0,5.0,116.0
Paul Pogba,1993-03-14,3.0,2.0,1781.0,3.0,26.0,5.0,1896.0,3.0,0.0,1333.0,3.0,4.0,36.0,41.0,50.0,37.0
Lucas Moura,1992-08-12,3.0,0.0,951.0,4.0,30.0,2.0,1402.0,1.0,0.0,569.0,1.0,3.0,32.0,23.0,37.0,10.0
Allan Saint-Maximin,1997-03-11,3.0,0.0,845.0,4.0,25.0,0.0,1568.0,0.0,0.0,417.0,3.0,5.0,16.0,10.0,52.0,1.0
Romain Saïss,1990-03-25,3.0,13.0,1824.0,0.0,27.0,7.0,2408.0,2.0,0.0,1428.0,4.0,1.0,35.0,29.0,2.0,111.0
Billy Sharp,1986-02-04,3.0,0.0,216.0,0.0,16.0,0.0,730.0,1.0,0.0,112.0,1.0,11.0,5.0,14.0,16.0,2.0
Hélder Costa,1994-01-11,3.0,0.0,557.0,3.0,22.0,0.0,1156.0,0.0,0.0,303.0,3.0,3.0,25.0,20.0,20.0,5.0
Jannik Vestergaard,1992-08-02,3.0,16.0,2123.0,0.0,30.0,6.0,2575.0,3.0,1.0,1763.0,2.0,0.0,50.0,19.0,6.0,119.0
Matej Vydra,1992-04-30,3.0,1.0,457.0,2.0,28.0,1.0,1366.0,0.0,0.0,236.0,7.0,12.0,9.0,6.0,22.0,5.0
Theo Walcott,1989-03-15,3.0,0.0,716.0,3.0,22.0,2.0,1641.0,0.0,0.0,400.0,2.0,8.0,23.0,13.0,27.0,3.0
Ashley Westwood,1990-03-31,3.0,9.0,2546.0,3.0,38.0,11.0,3411.0,7.0,0.0,2044.0,0.0,0.0,23.0,35.0,11.0,30.0
Ola Aina,1996-10-07,2.0,6.0,2124.0,1.0,31.0,7.0,2670.0,3.0,0.0,1462.0,1.0,2.0,37.0,32.0,10.0,81.0
Semi Ajayi,1993-11-08,2.0,32.0,1370.0,0.0,33.0,1.0,2780.0,3.0,1.0,937.0,2.0,1.0,40.0,28.0,5.0,118.0
Trent Alexander-Arnold,1998-10-06,2.0,3.0,3416.0,7.0,36.0,10.0,3033.0,2.0,0.0,2381.0,0.0,5.0,56.0,21.0,22.0,43.0
Ezgjan Alioski,1992-02-11,2.0,2.0,2031.0,3.0,36.0,10.0,2463.0,7.0,0.0,1377.0,1.0,6.0,74.0,39.0,15.0,40.0
Marcos Alonso,1990-12-27,2.0,1.0,764.0,0.0,13.0,4.0,959.0,2.0,0.0,508.0,2.0,2.0,13.0,13.0,9.0,28.0
Sèrge Aurier,1992-12-23,2.0,5.0,1280.0,3.0,19.0,4.0,1608.0,0.0,0.0,792.0,1.0,1.0,55.0,23.0,13.0,41.0
Michy Batshuayi,1993-10-01,2.0,1.0,295.0,1.0,18.0,0.0,722.0,0.0,0.0,167.0,3.0,11.0,5.0,12.0,22.0,5.0
Jayden Bogle,2000-07-26,2.0,4.0,607.0,0.0,16.0,2.0,1107.0,2.0,0.0,312.0,2.0,1.0,33.0,15.0,17.0,18.0
Timothy Castagne,1995-12-04,2.0,5.0,1856.0,3.0,27.0,6.0,2346.0,1.0,0.0,1325.0,0.0,1.0,52.0,20.0,11.0,50.0
João Cancelo,1994-05-26,2.0,2.0,2541.0,3.0,28.0,13.0,2302.0,5.0,1.0,1854.0,1.0,2.0,68.0,36.0,21.0,28.0
Aaron Connolly,2000-01-27,2.0,0.0,204.0,1.0,17.0,0.0,790.0,0.0,0.0,92.0,5.0,8.0,6.0,6.0,8.0,1.0
Issa Diop,1997-01-08,2.0,22.0,755.0,0.0,18.0,2.0,1379.0,3.0,0.0,583.0,1.0,1.0,20.0,8.0,2.0,58.0
Gabriel Magalhães,1997-12-18,2.0,19.0,1800.0,0.0,23.0,6.0,1997.0,2.0,1.0,1550.0,1.0,0.0,25.0,23.0,6.0,73.0
Abdoulaye Doucouré,1992-12-31,2.0,7.0,1680.0,3.0,29.0,7.0,2451.0,6.0,0.0,1341.0,1.0,0.0,52.0,23.0,26.0,25.0
Thiago Silva,1984-09-21,2.0,13.0,2168.0,0.0,23.0,10.0,1938.0,3.0,1.0,1940.0,1.0,0.0,20.0,13.0,2.0,82.0
Jonny Evans,1988-01-02,2.0,3.0,2101.0,2.0,28.0,10.0,2476.0,7.0,0.0,1850.0,2.0,1.0,25.0,18.0,4.0,96.0
Conor Gallagher,2000-02-05,2.0,8.0,1459.0,2.0,30.0,5.0,2531.0,11.0,0.0,890.0,1.0,0.0,81.0,43.0,36.0,27.0
Jóhann Gudmundsson,1990-10-26,2.0,2.0,656.0,0.0,22.0,0.0,1366.0,2.0,0.0,437.0,2.0,1.0,19.0,11.0,12.0,17.0
Trézéguet,1994-09-30,2.0,1.0,560.0,1.0,21.0,1.0,1166.0,0.0,0.0,288.0,5.0,4.0,33.0,39.0,13.0,13.0
Jeff Hendrick,1992-01-30,2.0,9.0,689.0,1.0,22.0,3.0,1424.0,1.0,1.0,538.0,0.0,3.0,8.0,15.0,15.0,13.0
Rodri,1996-06-21,2.0,9.0,3191.0,2.0,34.0,13.0,2747.0,6.0,0.0,2785.0,2.0,2.0,72.0,44.0,22.0,54.0
Callum Hudson-Odoi,2000-11-06,2.0,1.0,818.0,3.0,23.0,1.0,1058.0,0.0,0.0,576.0,0.0,5.0,23.0,11.0,15.0,5.0
Pierre-Emile Højbjerg,1995-08-04,2.0,9.0,3259.0,4.0,38.0,12.0,3420.0,9.0,0.0,2765.0,1.0,0.0,98.0,69.0,20.0,64.0
James Justin,1998-02-22,2.0,10.0,1635.0,1.0,23.0,9.0,2070.0,4.0,0.0,1054.0,1.0,3.0,61.0,16.0,14.0,44.0
Ezri Konsa,1997-10-22,2.0,47.0,1729.0,0.0,36.0,12.0,3195.0,3.0,0.0,1287.0,6.0,1.0,25.0,19.0,7.0,158.0
Jamaal Lascelles,1993-11-10,2.0,17.0,824.0,0.0,19.0,2.0,1627.0,4.0,0.0,621.0,0.0,0.0,14.0,17.0,1.0,84.0
Harry Maguire,1993-03-04,2.0,23.0,2626.0,1.0,34.0,13.0,3048.0,11.0,0.0,2227.0,0.0,1.0,29.0,40.0,6.0,122.0
Solly March,1994-07-19,2.0,5.0,1297.0,1.0,21.0,4.0,1675.0,0.0,0.0,717.0,1.0,2.0,49.0,26.0,24.0,21.0
Gabriel Martinelli,2001-06-17,2.0,0.0,280.0,1.0,14.0,1.0,587.0,0.0,0.0,144.0,2.0,1.0,7.0,9.0,7.0,3.0
Dwight McNeil,1999-11-21,2.0,6.0,1885.0,5.0,36.0,10.0,3071.0,1.0,0.0,1106.0,0.0,2.0,47.0,11.0,62.0,18.0
Ben Mee,1989-09-20,2.0,45.0,1506.0,0.0,30.0,9.0,2694.0,3.0,0.0,1122.0,1.0,1.0,32.0,15.0,2.0,148.0
Benjamin Mendy,1994-07-16,2.0,5.0,768.0,1.0,13.0,5.0,955.0,2.0,0.0,553.0,0.0,1.0,13.0,14.0,5.0,9.0
Yerry Mina,1994-09-22,2.0,23.0,1504.0,0.0,24.0,5.0,1939.0,2.0,0.0,1257.0,0.0,0.0,21.0,22.0,1.0,108.0
Tyrone Mings,1993-03-12,2.0,40.0,2115.0,2.0,36.0,14.0,3195.0,4.0,1.0,1679.0,2.0,3.0,32.0,21.0,4.0,170.0
Bernardo Silva,1994-08-09,2.0,1.0,1711.0,6.0,26.0,10.0,2071.0,5.0,0.0,1372.0,3.0,2.0,26.0,17.0,23.0,6.0
Jacob Murphy,1995-02-23,2.0,3.0,946.0,3.0,26.0,2.0,1621.0,3.0,0.0,458.0,1.0,2.0,39.0,23.0,25.0,24.0
Eddie Nketiah,1999-05-29,2.0,0.0,173.0,1.0,17.0,0.0,414.0,0.0,0.0,91.0,0.0,0.0,3.0,10.0,5.0,5.0
Ayoze Pérez,1993-07-28,2.0,0.0,798.0,1.0,25.0,0.0,1332.0,2.0,0.0,470.0,4.0,7.0,32.0,31.0,24.0,7.0
Matt Phillips,1991-03-12,2.0,4.0,869.0,1.0,33.0,1.0,1827.0,1.0,0.0,478.0,2.0,8.0,15.0,29.0,25.0,25.0
Nathan Redmond,1994-03-05,2.0,2.0,1092.0,3.0,29.0,1.0,1730.0,1.0,0.0,697.0,2.0,3.0,30.0,31.0,37.0,8.0
Declan Rice,1999-01-13,2.0,11.0,1936.0,1.0,32.0,10.0,2879.0,2.0,0.0,1526.0,2.0,2.0,59.0,21.0,19.0,35.0
Jairo Riedewald,1996-09-08,2.0,7.0,857.0,0.0,33.0,2.0,1817.0,4.0,0.0,630.0,1.0,0.0,34.0,21.0,9.0,23.0
Hal Robson-Kanu,1989-05-20,2.0,0.0,207.0,0.0,19.0,0.0,546.0,2.0,0.0,79.0,2.0,4.0,2.0,15.0,16.0,7.0
Jeffrey Schlupp,1992-12-22,2.0,8.0,751.0,3.0,27.0,0.0,1425.0,3.0,0.0,398.0,1.0,0.0,29.0,25.0,41.0,11.0
Emile Smith Rowe,2000-07-27,2.0,1.0,931.0,4.0,20.0,2.0,1448.0,0.0,0.0,726.0,1.0,4.0,14.0,5.0,7.0,9.0
Adama Traoré,1996-01-24,2.0,1.0,1544.0,2.0,37.0,6.0,2642.0,4.0,0.0,700.0,0.0,7.0,28.0,47.0,65.0,11.0
Aaron Wan-Bissaka,1997-11-25,2.0,17.0,2657.0,4.0,34.0,13.0,3060.0,3.0,0.0,1806.0,0.0,1.0,88.0,31.0,21.0,61.0
Georginio Wijnaldum,1990-11-10,2.0,3.0,2091.0,0.0,38.0,5.0,2947.0,1.0,0.0,1757.0,1.0,0.0,23.0,15.0,27.0,17.0
Hakim Ziyech,1993-03-18,2.0,1.0,932.0,3.0,23.0,0.0,1179.0,3.0,0.0,666.0,1.0,4.0,14.0,19.0,16.0,1.0
Rayan Aït-Nouri,2001-06-05,1.0,1.0,1063.0,1.0,21.0,3.0,1403.0,1.0,0.0,627.0,0.0,1.0,29.0,15.0,19.0,18.0
Nathan Aké,1995-02-17,1.0,1.0,827.0,0.0,10.0,3.0,797.0,4.0,0.0,751.0,0.0,0.0,10.0,8.0,1.0,22.0
Marc Albrighton,1989-11-17,1.0,3.0,1256.0,5.0,31.0,3.0,1743.0,2.0,0.0,749.0,1.0,4.0,33.0,9.0,29.0,20.0
Thiago Alcântara,1991-04-10,1.0,0.0,2039.0,0.0,24.0,5.0,1858.0,4.0,0.0,1720.0,1.0,0.0,61.0,48.0,18.0,11.0
Toby Alderweireld,1989-03-01,1.0,28.0,1708.0,0.0,25.0,9.0,2241.0,2.0,0.0,1437.0,0.0,0.0,35.0,17.0,2.0,115.0
Carlos Vinícius,1995-03-24,1.0,0.0,108.0,0.0,9.0,1.0,305.0,2.0,0.0,46.0,1.0,2.0,3.0,11.0,7.0,5.0
Steven Alzate,1998-09-07,1.0,1.0,564.0,0.0,15.0,3.0,897.0,2.0,0.0,437.0,0.0,1.0,17.0,20.0,9.0,9.0
Daniel Amartey,1994-12-20,1.0,4.0,580.0,0.0,12.0,0.0,719.0,3.0,0.0,454.0,0.0,0.0,11.0,3.0,3.0,24.0
