Name,date_of_birth,goals,outfielder_block,touches,goal_assist,appearances,clean_sheet,mins_played,yellow_card,red_card,total_pass,big_chance_missed,total_offside,total_tackle,fouls,dispossessed,total_clearance
Timo Werner,1996-03-05,4.0,0.0,596.0,1.0,21.0,3.0,1286.0,1.0,0.0,372.0,5.0,11.0,8.0,11.0,19.0,4.0
Hakim Ziyech,1993-03-18,4.0,1.0,1057.0,3.0,23.0,3.0,1315.0,3.0,0.0,632.0,1.0,5.0,19.0,24.0,24.0,8.0
Jordan Ayew,1991-09-10,3.0,3.0,1265.0,3.0,31.0,1.0,2023.0,2.0,0.0,669.0,4.0,2.0,47.0,38.0,77.0,12.0
Steven Bergwijn,1997-10-07,3.0,0.0,291.0,1.0,25.0,0.0,550.0,1.0,0.0,165.0,3.0,1.0,3.0,9.0,14.0,7.0
Sergi Canós,1997-02-01,3.0,3.0,1146.0,2.0,31.0,2.0,2094.0,6.0,1.0,668.0,2.0,5.0,56.0,28.0,25.0,35.0
Trevoh Chalobah,1999-07-04,3.0,6.0,1474.0,1.0,20.0,9.0,1449.0,2.0,0.0,1270.0,0.0,0.0,40.0,19.0,7.0,42.0
Ben Chilwell,1996-12-20,3.0,0.0,442.0,1.0,7.0,4.0,541.0,0.0,0.0,270.0,2.0,2.0,8.0,10.0,3.0,14.0
Thiago Silva,1984-09-21,3.0,31.0,2937.0,0.0,32.0,10.0,2651.0,2.0,0.0,2622.0,0.0,1.0,32.0,12.0,3.0,95.0
Jack Grealish,1995-09-09,3.0,1.0,1291.0,3.0,26.0,10.0,1917.0,3.0,0.0,928.0,6.0,5.0,18.0,17.0,29.0,6.0
Rico Henry,1997-07-07,3.0,10.0,1626.0,0.0,34.0,7.0,2784.0,2.0,0.0,1023.0,1.0,1.0,28.0,20.0,34.0,56.0
Pontus Jansson,1991-02-12,3.0,27.0,1919.0,1.0,37.0,7.0,3322.0,7.0,0.0,1489.0,5.0,5.0,40.0,15.0,5.0,186.0
João Pedro,2001-09-25,3.0,3.0,1038.0,1.0,28.0,1.0,1638.0,1.0,0.0,548.0,6.0,6.0,20.0,13.0,58.0,17.0
Michael Keane,1993-01-10,3.0,28.0,1573.0,2.0,32.0,7.0,2792.0,2.0,1.0,1211.0,1.0,1.0,46.0,16.0,2.0,128.0
Naby Keïta,1995-02-09,3.0,2.0,979.0,1.0,23.0,2.0,1173.0,3.0,0.0,743.0,1.0,0.0,46.0,21.0,10.0,3.0
Diego Llorente,1993-08-15,3.0,17.0,1704.0,0.0,28.0,5.0,2343.0,7.0,0.0,1357.0,1.0,0.0,53.0,23.0,3.0,75.0
Joël Matip,1991-08-07,3.0,14.0,2690.0,3.0,31.0,17.0,2790.0,2.0,0.0,2319.0,2.0,0.0,47.0,13.0,7.0,90.0
John McGinn,1994-10-17,3.0,6.0,1917.0,4.0,35.0,9.0,3092.0,8.0,0.0,1242.0,1.0,0.0,106.0,57.0,28.0,28.0
Ben Mee,1989-09-20,3.0,22.0,1003.0,0.0,21.0,6.0,1840.0,3.0,0.0,751.0,2.0,2.0,26.0,9.0,0.0,92.0
Takumi Minamino,1995-01-15,3.0,0.0,105.0,0.0,11.0,0.0,178.0,1.0,0.0,68.0,0.0,0.0,3.0,4.0,5.0,2.0
Christian Nørgaard,1994-03-09,3.0,9.0,2181.0,4.0,35.0,6.0,3059.0,8.0,0.0,1665.0,4.0,0.0,109.0,56.0,26.0,56.0
Divock Origi,1995-04-17,3.0,0.0,69.0,0.0,7.0,0.0,126.0,0.0,0.0,37.0,0.0,0.0,0.0,2.0,3.0,2.0
Andrew Robertson,1994-03-10,3.0,3.0,2618.0,10.0,29.0,16.0,2541.0,5.0,1.0,1928.0,0.0,4.0,36.0,19.0,15.0,51.0
Antonio Rüdiger,1993-03-02,3.0,11.0,2860.0,0.0,34.0,14.0,3035.0,9.0,0.0,2497.0,3.0,0.0,48.0,35.0,8.0,87.0
Jadon Sancho,2000-03-24,3.0,0.0,1277.0,3.0,29.0,0.0,1902.0,0.0,0.0,935.0,3.0,7.0,14.0,4.0,27.0,5.0
Andros Townsend,1991-07-15,3.0,2.0,787.0,2.0,21.0,2.0,1458.0,3.0,0.0,393.0,0.0,1.0,31.0,10.0,19.0,4.0
Virgil van Dijk,1991-07-07,3.0,14.0,2921.0,1.0,34.0,21.0,3060.0,3.0,0.0,2646.0,1.0,0.0,16.0,9.0,3.0,107.0
